Date,Open,High,Low,Close,Volume
2024-05-10 00:00:00,225.06,226.59,223.46,225.39,363483
2024-05-11 00:00:00,225.47,226.96,224.36,226.47,446028
2024-05-12 00:00:00,225.41,227.2,224.35,225.44,314170
2024-05-13 00:00:00,224.79,225.44,223.52,224.72,479509
2024-05-14 00:00:00,223.08,224.33,221.25,223.13,164427
2024-05-15 00:00:00,226.37,227.74,224.76,227.23,481561
2024-05-16 00:00:00,226.64,227.5,226.13,225.79,256064
2024-05-17 00:00:00,227.63,228.38,226.09,227.3,191934
2024-05-18 00:00:00,228.15,229.94,226.27,228.62,105774
2024-05-19 00:00:00,227.44,228.02,225.87,227.75,447463
2024-05-20 00:00:00,224.46,225.66,223.69,224.7,489216
2024-05-21 00:00:00,224.88,225.55,223.65,224.51,249181
2024-05-22 00:00:00,225.39,226.58,224.68,226.36,264353
2024-05-23 00:00:00,226.7,228.67,225.66,228.83,136342
2024-05-24 00:00:00,232.15,233.29,230.25,232.56,180303
2024-05-25 00:00:00,234.42,236.21,232.54,234.23,479245
2024-05-26 00:00:00,232.85,233.53,231.93,233.61,123723
2024-05-27 00:00:00,235.65,236.56,234.64,235.11,446586
2024-05-28 00:00:00,233.53,234.63,232.13,232.78,354991
2024-05-29 00:00:00,232.79,233.89,230.85,232.82,206308
2024-05-30 00:00:00,232.4,233.9,231.67,229.81,379754
2024-05-31 00:00:00,235.79,236.8,234.9,234.63,198410
2024-06-01 00:00:00,236,237.57,234.19,235.65,230518
2024-06-02 00:00:00,233.62,235.08,232.38,232.26,300960
2024-06-03 00:00:00,233.74,234.84,231.89,232.71,339185
2024-06-04 00:00:00,232.78,233.93,232,232.34,414554
2024-06-05 00:00:00,234.67,236.09,233.37,233.03,351099
2024-06-06 00:00:00,233.49,234.1,232.5,233.09,498262
2024-06-07 00:00:00,231.5,233.23,230.52,230.96,321615
2024-06-08 00:00:00,231.47,232.95,230.3,231.5,174518
2024-06-09 00:00:00,230.82,232.4,229.67,231.97,410047
2024-06-10 00:00:00,234.63,235.93,233.59,234.8,178196
2024-06-11 00:00:00,237.29,237.96,235.42,237.31,475842
2024-06-12 00:00:00,237.47,238.58,235.87,237.57,355970
2024-06-13 00:00:00,235.14,236.25,233.55,235.37,431076
2024-06-14 00:00:00,237.22,238.2,236.28,236.2,464324
2024-06-15 00:00:00,235.34,235.89,233.97,235.23,194035
2024-06-16 00:00:00,232.45,234.06,230.78,232.76,323404
2024-06-17 00:00:00,235.19,235.85,233.5,233.82,371057
2024-06-18 00:00:00,235.69,237.1,234.68,236.56,438160
2024-06-19 00:00:00,238.54,240.09,236.88,239.62,443407
2024-06-20 00:00:00,238.84,240.29,237.24,238.21,337766
2024-06-21 00:00:00,241.77,243.71,241.06,241.53,431184
2024-06-22 00:00:00,240.22,240.88,238.42,239.34,228393
2024-06-23 00:00:00,238.6,240.4,237.44,239.3,353468
2024-06-24 00:00:00,240.49,241.03,239.26,239.43,218861
2024-06-25 00:00:00,239.26,240.56,238.08,239.03,294232
2024-06-26 00:00:00,237.07,238.18,235.72,236.21,495657
2024-06-27 00:00:00,237.14,238.43,235.71,237.19,198773
2024-06-28 00:00:00,238.02,239.07,236.77,236.23,159202
2024-06-29 00:00:00,236.32,237.11,234.52,237.65,228110
2024-06-30 00:00:00,234.92,235.44,233.47,233.95,205464
2024-07-01 00:00:00,232.61,233.88,231.51,232.67,363332
2024-07-02 00:00:00,229.08,230.84,227.95,228.86,206780
2024-07-03 00:00:00,231.16,232.22,229.44,230.4,416916
2024-07-04 00:00:00,227.41,228.24,226.38,226.52,115424
2024-07-05 00:00:00,225.83,226.45,225.02,226.77,211484
2024-07-06 00:00:00,225.99,226.62,225.41,225.47,394123
2024-07-07 00:00:00,226.38,227.21,224.56,226.65,158882
2024-07-08 00:00:00,229.02,229.67,227.14,228.22,168005
2024-07-09 00:00:00,226.93,227.83,226.25,226.29,189031
2024-07-10 00:00:00,227.37,227.97,226.37,227.85,467703
2024-07-11 00:00:00,227.53,228.13,226.77,228.46,267889
2024-07-12 00:00:00,224.86,226.65,224.19,224.69,158883
2024-07-13 00:00:00,226.87,227.61,225.02,225.45,310914
2024-07-14 00:00:00,226.59,227.93,226.01,228.59,429459
2024-07-15 00:00:00,229.25,230.91,227.28,228.39,432370
2024-07-16 00:00:00,231.34,232.52,230.69,229.79,317906
2024-07-17 00:00:00,236.12,236.85,234.33,238.72,151133
2024-07-18 00:00:00,238.79,239.59,237.44,238.39,299146
